סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
157       ,עין ורד                  ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1663      ,121       ,442       ,503       ,276       ,116       ,205
158       ,נען                      ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1935      ,204       ,376       ,692       ,226       ,92        ,345
159       ,בית חנן                  ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,686       ,48        ,122       ,223       ,93        ,70        ,130
160       ,חולדה                    ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1157      ,133       ,373       ,333       ,155       ,53        ,110
162       ,חירות                    ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1377      ,87        ,380       ,386       ,240       ,139       ,145
163       ,תימורים                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,832       ,59        ,146       ,291       ,122       ,101       ,113
164       ,מלאה                     ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,407       ,41        ,90        ,142       ,52        ,35        ,47
165       ,ניר יפה                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,703       ,56        ,224       ,234       ,70        ,31        ,88
166       ,גן יבנה                  ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,24398     ,1822      ,6190      ,8642      ,3677      ,2101      ,1966
167       ,עין החורש                ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,950       ,83        ,167       ,296       ,109       ,69        ,226
168       ,כפר יונה                 ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,25475     ,2620      ,5935      ,9245      ,3090      ,1969      ,2616
170       ,כפר יעבץ                 ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,743       ,75        ,191       ,249       ,87        ,67        ,74
171       ,פרדסיה                   ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,7354      ,684       ,1407      ,2705      ,814       ,821       ,923
173       ,גבעת חיים )מאוחד(        ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1201      ,82        ,226       ,383       ,165       ,79        ,266
174       ,נטעים                    ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,799       ,57        ,178       ,257       ,146       ,71        ,90
175       ,אביחיל                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1413      ,105       ,310       ,442       ,169       ,136       ,251
176       ,אפיקים                   ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,1422      ,82        ,228       ,468       ,182       ,108       ,354
177       ,כפר ביל"ו                ,44        ,רחובות                   ,44        ,רחובות                   ,30        ,גזר                      ,1193      ,98        ,228       ,396       ,151       ,135       ,185
178       ,רמת יוחנן                ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,1191      ,130       ,198       ,450       ,133       ,94        ,186
182       ,אבן יהודה                ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,14848     ,1113      ,3725      ,4639      ,2123      ,1141      ,2107
183       ,ירקונה                   ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,395       ,17        ,76        ,123       ,78        ,37        ,64
184       ,רמת הכובש                ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,1045      ,91        ,229       ,311       ,129       ,49        ,236
186       ,נעורים                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,243       ,19        ,33        ,109       ,27        ,25        ,30
187       ,כפר הס                   ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1496      ,116       ,340       ,475       ,273       ,131       ,161
188       ,אשדות יעקב  )מאוחד(      ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,742       ,50        ,147       ,250       ,89        ,64        ,142
189       ,כפר פינס                 ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,662       ,98        ,188       ,207       ,49        ,33        ,87
190       ,כפר ויתקין               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1960      ,135       ,457       ,611       ,330       ,182       ,245
191       ,הדר עם                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,820       ,70        ,230       ,231       ,136       ,56        ,97
192       ,כפר החורש                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,733       ,98        ,148       ,244       ,65        ,64        ,114
193       ,כפר חיים                 ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,609       ,50        ,136       ,181       ,82        ,55        ,105
194       ,משמר השרון               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,795       ,80        ,161       ,261       ,81        ,67        ,145
195       ,קדימה-צורן               ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,22969     ,1944      ,5636      ,7747      ,3422      ,2252      ,1968
196       ,גיבתון                   ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,397       ,43        ,81        ,117       ,50        ,22        ,84
